[-0.0768597   0.19989988],[-0.14725782  0.22864403],[1.7565389 1.2545704]
[-0.07753183],[-0.14816296],[1.7718686]
[-0.07580639  0.20214193],[-0.14628123  0.2296251 ],[1.7493114 1.2583222]
[-0.07827204  0.20423877],[-0.14814216  0.2294629 ],[1.7716932 1.2543156]
[-0.07613196  0.03361155  0.7100789   0.20477426],[-0.14691     0.14417566  0.20486243  0.22973128],[1.7568244 1.7033556 1.4580432 1.2542386]
[-0.07686596  0.03275106],[-0.1468894   0.14214212],[1.756651  1.6964716]
[-0.07719746  0.03287215  0.7153435   0.20414054],[-0.14752345  0.14094488  0.20359915  0.22955477],[1.7642273 1.7037884 1.4706267 1.2503054]
[-0.07580639  0.7081433   0.20351683],[-0.14628123  0.19519791  0.22885032],[1.7493114 1.4531846 1.2464854]
[-0.0772202   0.20359717],[-0.14790864  0.22928531],[1.7643892 1.2503456]
[-0.07610811  0.03400931],[-0.1465254   0.13907161],[1.7566495 1.725805 ]
[-0.07688373],[-0.14764257],[1.7567146]
